application,tx_id,currency,account,asset,ticker,type,crypto_amount,fiat_amount,comission_amount,note,date,time
MEXC,f7ddc45972d5407a84588dd88341fb91,USD,USD,COTI,COTI,Sell,656.81,57.5168517,0.0,,2024-02-11,20:47:58
MEXC,f7ddc45972d5407a84588dd88341fb91,USD,USD,USDT,USDT,Buy,57.5168517,57.5168517,0.0,,2024-02-11,20:47:58
MEXC,ef0340dddb6b4655a3ab2d9f2e895652,USD,USD,COTI,COTI,Sell,23.28,2.0386296,0.0,,2024-02-11,20:47:58
MEXC,ef0340dddb6b4655a3ab2d9f2e895652,USD,USD,USDT,USDT,Buy,2.0386296,2.0386296,0.0,,2024-02-11,20:47:58
MEXC,7a44e2dcdfb14b2aaa08544023c914ba,USD,USD,USDT,USDT,Sell,299.9936,299.9936,0.0,,2024-02-26,20:36:40
MEXC,7a44e2dcdfb14b2aaa08544023c914ba,USD,USD,APT,APT,Buy,29.44,299.9936,0.0,,2024-02-26,20:36:40
MEXC,28d02aa415f54464850b25be3f945d2a,USD,USD,TRIAS,TRIAS,Sell,6.45,97.0725,0.0,,2024-02-21,14:45:27
MEXC,28d02aa415f54464850b25be3f945d2a,USD,USD,USDT,USDT,Buy,97.0725,97.0725,0.0,,2024-02-21,14:45:27
MEXC,9a0bef6f595a4e9e8895f549a6b5cace,USD,USD,USDT,USDT,Sell,47.6131009,47.6131009,0.0,,2024-02-06,20:15:13
MEXC,9a0bef6f595a4e9e8895f549a6b5cace,USD,USD,COTI,COTI,Buy,680.09,47.6131009,0.0,,2024-02-06,20:15:13
MEXC,ef45b16b9b0f4815af02fc6da71b3cec,USD,USD,XAI,XAI,Sell,43.47,56.584899,0.0,,2024-02-21,14:47:04
MEXC,ef45b16b9b0f4815af02fc6da71b3cec,USD,USD,USDT,USDT,Buy,56.584899,56.584899,0.0,,2024-02-21,14:47:04
MEXC,ec109ad241244248982b527c00baf065,USD,USD,USDT,USDT,Sell,199.9998,199.9998,0.0,,2024-02-24,16:46:21
MEXC,ec109ad241244248982b527c00baf065,USD,USD,RVF,RVF,Buy,279.72,199.9998,0.0,,2024-02-24,16:46:21
MEXC,955dc740303f4efab900d458d8d30762,USD,USD,CAKE,CAKE,Sell,30.57,97.48773,0.0,,2024-02-24,16:45:26
MEXC,955dc740303f4efab900d458d8d30762,USD,USD,USDT,USDT,Buy,97.48773,97.48773,0.0,,2024-02-24,16:45:26
MEXC,a303f62bdf734fb1ae4295fc565487d0,USD,USD,USDT,USDT,Sell,290.4805332,290.4805332,0.0,,2024-02-07,20:57:21
MEXC,a303f62bdf734fb1ae4295fc565487d0,USD,USD,KAS,KAS,Buy,2453.3,290.4805332,0.0,,2024-02-07,20:57:21
MEXC,bdca65a88b8b44328d25f8caa1cec6f6,USD,USD,WELSH,WELSH,Sell,29481.13,143.92687666,0.0,,2024-02-23,23:50:45
MEXC,bdca65a88b8b44328d25f8caa1cec6f6,USD,USD,USDT,USDT,Buy,143.92687666,143.92687666,0.0,,2024-02-23,23:50:45
MEXC,e42485860dde48e5ad3e0c6702d458a5,USD,USD,ZEPH,ZEPH,Sell,0.5,10.782,0.0,,2024-02-21,14:47:31
MEXC,e42485860dde48e5ad3e0c6702d458a5,USD,USD,USDT,USDT,Buy,10.782,10.782,0.0,,2024-02-21,14:47:31
MEXC,ed76ad6fa4c549f8be0e8b1a57d64c4d,USD,USD,USDT,USDT,Sell,120.676416,120.676416,0.0,,2024-02-07,20:55:42
MEXC,ed76ad6fa4c549f8be0e8b1a57d64c4d,USD,USD,ALPH,ALPH,Buy,53.34,120.676416,0.0,,2024-02-07,20:55:42
MEXC,ad7d4f27938a49319c4baae844c28d33,USD,USD,USDT,USDT,Sell,49.994847,49.994847,0.0,,2024-02-18,19:25:29
MEXC,ad7d4f27938a49319c4baae844c28d33,USD,USD,XAI,XAI,Buy,43.47,49.994847,0.0,,2024-02-18,19:25:29
MEXC,3a8e674e70b94182851d6dfab4efc44e,USD,USD,USDT,USDT,Sell,79.300936,79.300936,0.0,,2024-03-03,20:17:37
MEXC,3a8e674e70b94182851d6dfab4efc44e,USD,USD,ETH,ETH,Buy,0.02288,79.300936,0.0,,2024-03-03,20:17:37
MEXC,7f8e5ece98d746e9bd59a7b6d8b6d559,USD,USD,USDT,USDT,Sell,20.02075952,20.02075952,0.0,,2024-02-07,20:57:21
MEXC,7f8e5ece98d746e9bd59a7b6d8b6d559,USD,USD,KAS,KAS,Buy,169.04,20.02075952,0.0,,2024-02-07,20:57:21
